id,id,text,product,sentiment,is_google,is_apple,has_sentiment,pos_sentiment
0,0.0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at RISE_Austin, it was dead!  I need to upgrade. Plugin stations at SXSW.",iPhone,negative,0.0,1.0,1.0,0.0
1,1.0,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at SXSW",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
2,2.0,@swonderlin Can not wait for iPad 2 also. They should sale them down at SXSW.,iPad,positive,0.0,1.0,1.0,1.0
3,3.0,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. sxsw,iPad or iPhone App,negative,0.0,1.0,1.0,0.0
4,4.0,"@sxtxstate great stuff on Fri SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,positive,1.0,0.0,1.0,1.0
7,7.0,"SXSW is just starting, CTIA is around the corner and googleio is only a hop skip and a jump from there, good time to be an android fan",Android,positive,1.0,0.0,1.0,1.0
8,8.0,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our hollergram iPad app for sxsw! ,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
9,9.0,Counting down the days to sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,positive,0.0,1.0,1.0,1.0
10,10.0,Excited to meet the @samsungmobileus at sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   fail,Android,positive,1.0,0.0,1.0,1.0
11,11.0,Find &amp; Start Impromptu Parties at SXSW With @HurricaneParty  I can't wait til the Android app comes out.,Android App,positive,1.0,0.0,1.0,1.0
12,12.0,"Foursquare ups the game, just in time for SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,positive,1.0,0.0,1.0,1.0
13,13.0,Gotta love this SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;,Other Google product or service,positive,1.0,0.0,1.0,1.0
14,14.0,Great sxsw ipad app from @madebymany: 4nqv92l,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
15,15.0,"haha, awesomely rad iPad app by @madebymany  hollergram sxsw",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
17,17.0,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? SXSW iPhone,iPhone,negative,0.0,1.0,1.0,0.0
18,18.0,"Just added my SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
19,19.0,Must have SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
20,20.0,Need to buy an iPad2 while I'm in Austin at sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,positive,0.0,1.0,1.0,1.0
